tag,surrogate,alpha,seed,epoch,train_loss,test_loss,test_acc,firing_rate,seconds,train_eval_loss,train_eval_acc
sweep_d2_lr1e-3,atan,0.5,2,3,0.148234,0.412511,0.885000,0.096655,0.721,nan,nan
sweep_d2_lr1e-3,atan,0.5,2,4,0.107582,0.424634,0.891300,0.099729,0.732,nan,nan
sweep_d2_lr1e-3,atan,1,1,1,0.398519,0.488138,0.850500,0.105238,0.780,nan,nan
sweep_d2_lr1e-3,atan,1,1,2,0.172354,0.431047,0.873700,0.106863,0.735,nan,nan
sweep_d2_lr1e-3,atan,1,1,3,0.114092,0.399119,0.889000,0.107086,0.724,nan,nan
sweep_d2_lr1e-3,atan,1,1,4,0.076595,0.436684,0.889900,0.108396,0.742,nan,nan
sweep_d2_lr1e-3,atan,1,2,1,0.398328,0.475260,0.858200,0.106029,0.709,nan,nan
sweep_d2_lr1e-3,atan,1,2,2,0.170942,0.415176,0.874600,0.103407,0.718,nan,nan
sweep_d2_lr1e-3,atan,1,2,3,0.113550,0.373243,0.895900,0.103217,0.717,nan,nan
sweep_d2_lr1e-3,atan,1,2,4,0.078303,0.414717,0.895900,0.104408,0.716,nan,nan
sweep_d2_lr1e-3,atan,2,1,1,0.366633,0.455566,0.861500,0.124418,0.766,nan,nan
sweep_d2_lr1e-3,atan,2,1,2,0.152530,0.408027,0.880500,0.127968,0.724,nan,nan
sweep_d2_lr1e-3,atan,2,1,3,0.095740,0.405914,0.889500,0.130025,0.723,nan,nan
sweep_d2_lr1e-3,atan,2,1,4,0.063797,0.393808,0.899400,0.123985,0.725,nan,nan
sweep_d2_lr1e-3,atan,2,2,1,0.365887,0.461602,0.864200,0.127441,0.729,nan,nan
sweep_d2_lr1e-3,atan,2,2,2,0.149891,0.390779,0.882200,0.121987,0.716,nan,nan
sweep_d2_lr1e-3,atan,2,2,3,0.095935,0.377724,0.896600,0.120830,0.729,nan,nan
sweep_d2_lr1e-3,atan,2,2,4,0.068510,0.408851,0.895200,0.118957,0.725,nan,nan
sweep_d2_lr2e-3,atan,0.5,1,1,0.395230,0.504024,0.851400,0.094340,0.760,nan,nan
sweep_d2_lr2e-3,atan,0.5,1,2,0.186019,0.443768,0.873800,0.096581,0.715,nan,nan
sweep_d2_lr2e-3,atan,0.5,1,3,0.126176,0.433223,0.884700,0.095613,0.714,nan,nan
sweep_d2_lr2e-3,atan,0.5,1,4,0.093923,0.491911,0.877500,0.096892,0.715,nan,nan
sweep_d2_lr2e-3,atan,0.5,2,1,0.397890,0.527867,0.847900,0.093056,0.726,nan,nan
sweep_d2_lr2e-3,atan,0.5,2,2,0.184744,0.458060,0.870400,0.095961,0.736,nan,nan
sweep_d2_lr2e-3,atan,0.5,2,3,0.128400,0.420409,0.888200,0.096059,0.734,nan,nan
sweep_d2_lr2e-3,atan,0.5,2,4,0.095690,0.435022,0.890000,0.095321,0.727,nan,nan
sweep_d2_lr2e-3,atan,1,1,1,0.356838,0.478385,0.859800,0.097384,0.784,nan,nan
sweep_d2_lr2e-3,atan,1,1,2,0.161085,0.420842,0.880400,0.099226,0.738,nan,nan
sweep_d2_lr2e-3,atan,1,1,3,0.106454,0.426982,0.885400,0.098180,0.729,nan,nan
sweep_d2_lr2e-3,atan,1,1,4,0.078409,0.424089,0.896500,0.102224,0.728,nan,nan
sweep_d2_lr2e-3,atan,1,2,1,0.355177,0.483877,0.860300,0.099569,0.728,nan,nan
sweep_d2_lr2e-3,atan,1,2,2,0.162677,0.438221,0.871300,0.096859,0.729,nan,nan
sweep_d2_lr2e-3,atan,1,2,3,0.109344,0.438989,0.886300,0.101718,0.731,nan,nan
sweep_d2_lr2e-3,atan,1,2,4,0.086121,0.424113,0.893500,0.098457,0.718,nan,nan
sweep_d2_lr2e-3,atan,2,1,1,0.335327,0.460651,0.862300,0.101041,0.774,nan,nan
sweep_d2_lr2e-3,atan,2,1,2,0.152907,0.404257,0.888800,0.100965,0.737,nan,nan
sweep_d2_lr2e-3,atan,2,1,3,0.102573,0.406063,0.891100,0.100314,0.732,nan,nan
sweep_d2_lr2e-3,atan,2,1,4,0.080587,0.419531,0.890900,0.100172,0.718,nan,nan
sweep_d2_lr2e-3,atan,2,2,1,0.334950,0.496509,0.859200,0.109650,0.721,nan,nan
sweep_d2_lr2e-3,atan,2,2,2,0.149014,0.447487,0.876900,0.110142,0.722,nan,nan
sweep_d2_lr2e-3,atan,2,2,3,0.106093,0.407255,0.892600,0.105998,0.730,nan,nan
sweep_d2_lr2e-3,atan,2,2,4,0.082497,0.430035,0.892200,0.105003,0.714,nan,nan
sweep_d3_lr5e-4,atan,0.5,1,1,0.563165,0.645357,0.799500,0.113438,1.078,nan,nan
sweep_d3_lr5e-4,atan,0.5,1,2,0.277053,0.529279,0.838700,0.103513,1.026,nan,nan
sweep_d3_lr5e-4,atan,0.5,1,3,0.195596,0.471224,0.865300,0.098788,1.022,nan,nan
sweep_d3_lr5e-4,atan,0.5,1,4,0.150322,0.455691,0.871300,0.100359,1.021,nan,nan
sweep_d3_lr5e-4,atan,0.5,2,1,0.556674,0.656025,0.793300,0.114629,1.014,nan,nan
sweep_d3_lr5e-4,atan,0.5,2,2,0.273470,0.527607,0.834100,0.107913,1.023,nan,nan
sweep_d3_lr5e-4,atan,0.5,2,3,0.196126,0.437098,0.869100,0.103959,1.015,nan,nan
sweep_d3_lr5e-4,atan,0.5,2,4,0.152908,0.433396,0.875200,0.100532,1.019,nan,nan
sweep_d3_lr5e-4,atan,1,1,1,0.512666,0.582211,0.821000,0.131178,1.074,nan,nan
sweep_d3_lr5e-4,atan,1,1,2,0.226427,0.486716,0.851600,0.117900,1.014,nan,nan
sweep_d3_lr5e-4,atan,1,1,3,0.148432,0.422517,0.877500,0.116815,1.007,nan,nan
sweep_d3_lr5e-4,atan,1,1,4,0.105375,0.423998,0.884300,0.114674,1.000,nan,nan
sweep_d3_lr5e-4,atan,1,2,1,0.507328,0.566714,0.824500,0.130212,1.003,nan,nan
sweep_d3_lr5e-4,atan,1,2,2,0.219629,0.460569,0.859100,0.116706,1.012,nan,nan
sweep_d3_lr5e-4,atan,1,2,3,0.150744,0.395148,0.888500,0.112941,0.996,nan,nan
sweep_d3_lr5e-4,atan,1,2,4,0.109120,0.392456,0.891100,0.110930,1.018,nan,nan
sweep_d3_lr5e-4,atan,2,1,1,0.470383,0.544449,0.835000,0.169659,1.079,nan,nan
sweep_d3_lr5e-4,atan,2,1,2,0.196748,0.429529,0.873800,0.154206,1.047,nan,nan
sweep_d3_lr5e-4,atan,2,1,3,0.125341,0.387983,0.888800,0.151349,1.032,nan,nan
sweep_d3_lr5e-4,atan,2,1,4,0.086843,0.385998,0.892200,0.143414,1.029,nan,nan
sweep_d3_lr5e-4,atan,2,2,1,0.466547,0.560458,0.831700,0.173390,1.019,nan,nan
sweep_d3_lr5e-4,atan,2,2,2,0.194680,0.424866,0.870500,0.148263,1.016,nan,nan
sweep_d3_lr5e-4,atan,2,2,3,0.127260,0.368792,0.896400,0.145114,1.018,nan,nan
sweep_d3_lr5e-4,atan,2,2,4,0.090186,0.382341,0.894800,0.139219,1.006,nan,nan
sweep_d3_lr1e-3,atan,0.5,1,1,0.480736,0.566226,0.827000,0.104851,1.064,nan,nan
sweep_d3_lr1e-3,atan,0.5,1,2,0.227527,0.472116,0.861100,0.104318,1.025,nan,nan
sweep_d3_lr1e-3,atan,0.5,1,3,0.152806,0.446385,0.876600,0.102776,1.019,nan,nan
sweep_d3_lr1e-3,atan,0.5,1,4,0.114863,0.435101,0.885600,0.105292,1.016,nan,nan
sweep_d3_lr1e-3,atan,0.5,2,1,0.476182,0.583442,0.823100,0.106606,1.029,nan,nan
sweep_d3_lr1e-3,atan,0.5,2,2,0.223508,0.463671,0.862700,0.103764,1.031,nan,nan
sweep_d3_lr1e-3,atan,0.5,2,3,0.152718,0.403214,0.882400,0.103578,1.023,nan,nan
sweep_d3_lr1e-3,atan,0.5,2,4,0.116319,0.412718,0.887500,0.106036,1.031,nan,nan
sweep_d3_lr1e-3,atan,1,1,1,0.433441,0.499462,0.844600,0.113287,1.067,nan,nan
sweep_d3_lr1e-3,atan,1,1,2,0.187750,0.434427,0.871900,0.108480,1.028,nan,nan
sweep_d3_lr1e-3,atan,1,1,3,0.119986,0.429998,0.885400,0.112667,1.025,nan,nan
sweep_d3_lr1e-3,atan,1,1,4,0.085275,0.433251,0.891800,0.113227,1.016,nan,nan
sweep_d3_lr1e-3,atan,1,2,1,0.428744,0.500865,0.851900,0.114991,1.012,nan,nan
sweep_d3_lr1e-3,atan,1,2,2,0.182204,0.444131,0.869600,0.107775,1.011,nan,nan
sweep_d3_lr1e-3,atan,1,2,3,0.123776,0.385933,0.892700,0.108227,1.015,nan,nan
sweep_d3_lr1e-3,atan,1,2,4,0.086545,0.434493,0.888300,0.107563,1.018,nan,nan
sweep_d3_lr1e-3,atan,2,1,1,0.401117,0.482533,0.852000,0.128267,1.072,nan,nan
sweep_d3_lr1e-3,atan,2,1,2,0.168117,0.436791,0.871000,0.121258,1.019,nan,nan
sweep_d3_lr1e-3,atan,2,1,3,0.108967,0.414237,0.887800,0.120660,1.019,nan,nan
