tag,arch,depth,width,params,seed,epoch,train_loss,test_loss,test_acc,seconds,train_eval_loss,train_eval_acc
cnn_d2,cnn,2,0,50186,3,11,0.012027,0.405976,0.940600,1.006,0.007436,0.998000
cnn_d2,cnn,2,0,50186,3,12,0.011350,0.444727,0.935500,1.105,0.015885,0.995000
cnn_d2,cnn,2,0,50186,3,13,0.011257,0.428986,0.941800,1.100,0.008774,0.996700
cnn_d2,cnn,2,0,50186,3,14,0.010684,0.499507,0.934000,1.234,0.009651,0.996800
cnn_d2,cnn,2,0,50186,3,15,0.010598,0.485717,0.937400,1.391,0.009925,0.997200
cnn_d2,cnn,2,0,50186,4,1,0.324265,0.363415,0.894100,0.971,0.129625,0.959900
cnn_d2,cnn,2,0,50186,4,2,0.124317,0.338428,0.905500,1.287,0.091491,0.969300
cnn_d2,cnn,2,0,50186,4,3,0.090091,0.304910,0.917300,1.084,0.066117,0.979000
cnn_d2,cnn,2,0,50186,4,4,0.069867,0.268881,0.927400,1.037,0.044188,0.986900
cnn_d2,cnn,2,0,50186,4,5,0.055192,0.306612,0.928600,1.121,0.047355,0.984500
cnn_d2,cnn,2,0,50186,4,6,0.047013,0.296855,0.933000,1.057,0.031564,0.991000
cnn_d2,cnn,2,0,50186,4,7,0.037282,0.286880,0.932700,0.928,0.023578,0.991800
cnn_d2,cnn,2,0,50186,4,8,0.032744,0.311012,0.936700,1.027,0.018525,0.994200
cnn_d2,cnn,2,0,50186,4,9,0.028261,0.323832,0.930200,0.962,0.022988,0.993900
cnn_d2,cnn,2,0,50186,4,10,0.026410,0.363076,0.930900,1.134,0.017479,0.994200
cnn_d2,cnn,2,0,50186,4,11,0.019718,0.362310,0.932400,1.140,0.011043,0.996000
cnn_d2,cnn,2,0,50186,4,12,0.018635,0.394092,0.930000,0.986,0.013602,0.995500
cnn_d2,cnn,2,0,50186,4,13,0.017683,0.394036,0.935000,1.033,0.015719,0.994800
cnn_d2,cnn,2,0,50186,4,14,0.017610,0.468119,0.929400,1.212,0.013593,0.995200
cnn_d2,cnn,2,0,50186,4,15,0.010823,0.468768,0.928300,1.158,0.012089,0.995800
cnn_d3,cnn,3,0,104202,1,1,0.264509,0.299453,0.916200,2.494,0.085880,0.973700
cnn_d3,cnn,3,0,104202,1,2,0.072386,0.223543,0.937200,1.356,0.046816,0.985600
cnn_d3,cnn,3,0,104202,1,3,0.044461,0.202532,0.949000,1.192,0.028846,0.990600
cnn_d3,cnn,3,0,104202,1,4,0.031849,0.254881,0.941700,1.227,0.023084,0.992100
cnn_d3,cnn,3,0,104202,1,5,0.024097,0.219015,0.951800,1.363,0.014650,0.995700
cnn_d3,cnn,3,0,104202,1,6,0.021018,0.237352,0.954300,1.293,0.009782,0.996900
cnn_d3,cnn,3,0,104202,1,7,0.015042,0.290077,0.953100,1.322,0.012294,0.995700
cnn_d3,cnn,3,0,104202,1,8,0.018370,0.238496,0.956100,1.391,0.006716,0.997600
cnn_d3,cnn,3,0,104202,1,9,0.012035,0.274353,0.955000,1.313,0.006093,0.997900
cnn_d3,cnn,3,0,104202,1,10,0.011529,0.270787,0.953800,1.395,0.007405,0.997100
cnn_d3,cnn,3,0,104202,1,11,0.011244,0.325595,0.943900,1.398,0.016243,0.994800
cnn_d3,cnn,3,0,104202,1,12,0.012574,0.356120,0.951000,1.000,0.010854,0.996800
cnn_d3,cnn,3,0,104202,1,13,0.012845,0.336145,0.955900,1.216,0.009845,0.996900
cnn_d3,cnn,3,0,104202,1,14,0.007775,0.315008,0.953100,1.337,0.005657,0.997500
cnn_d3,cnn,3,0,104202,1,15,0.010062,0.316250,0.950300,1.401,0.013457,0.996200
cnn_d3,cnn,3,0,104202,2,1,0.292757,0.315900,0.912000,1.344,0.097054,0.969700
cnn_d3,cnn,3,0,104202,2,2,0.074364,0.212321,0.939500,1.364,0.041918,0.988100
cnn_d3,cnn,3,0,104202,2,3,0.046857,0.220347,0.938700,1.460,0.042235,0.988300
cnn_d3,cnn,3,0,104202,2,4,0.034013,0.240757,0.943000,1.716,0.030454,0.989000
cnn_d3,cnn,3,0,104202,2,5,0.025255,0.206498,0.954200,1.471,0.013190,0.996200
cnn_d3,cnn,3,0,104202,2,6,0.019559,0.234251,0.953800,1.578,0.009772,0.997500
cnn_d3,cnn,3,0,104202,2,7,0.019095,0.258038,0.954200,1.247,0.014621,0.995400
cnn_d3,cnn,3,0,104202,2,8,0.015836,0.280221,0.947600,1.528,0.014826,0.995100
cnn_d3,cnn,3,0,104202,2,9,0.015539,0.275191,0.948300,1.463,0.012485,0.995300
cnn_d3,cnn,3,0,104202,2,10,0.015545,0.326113,0.948600,1.624,0.013747,0.995200
cnn_d3,cnn,3,0,104202,2,11,0.010881,0.336893,0.953600,1.485,0.007619,0.997200
cnn_d3,cnn,3,0,104202,2,12,0.013382,0.303564,0.951200,1.453,0.012018,0.996400
cnn_d3,cnn,3,0,104202,2,13,0.010131,0.355542,0.953900,1.453,0.009010,0.997000
cnn_d3,cnn,3,0,104202,2,14,0.012226,0.419820,0.949700,1.373,0.015367,0.995400
cnn_d3,cnn,3,0,104202,2,15,0.006962,0.424911,0.949600,1.398,0.028796,0.991900
cnn_d3,cnn,3,0,104202,3,1,0.273476,0.397259,0.884600,1.481,0.130359,0.958300
cnn_d3,cnn,3,0,104202,3,2,0.073762,0.221742,0.943100,1.344,0.051534,0.984200
cnn_d3,cnn,3,0,104202,3,3,0.047443,0.197575,0.948100,1.374,0.027265,0.991300
cnn_d3,cnn,3,0,104202,3,4,0.033988,0.204768,0.949500,1.369,0.018448,0.994600
cnn_d3,cnn,3,0,104202,3,5,0.026007,0.192210,0.950900,1.419,0.018510,0.994200
cnn_d3,cnn,3,0,104202,3,6,0.018955,0.281834,0.948700,1.399,0.016803,0.994700
cnn_d3,cnn,3,0,104202,3,7,0.019364,0.297147,0.945500,1.452,0.016333,0.992900
cnn_d3,cnn,3,0,104202,3,8,0.017907,0.279252,0.953200,1.361,0.011276,0.995900
cnn_d3,cnn,3,0,104202,3,9,0.014517,0.262848,0.952700,1.303,0.011802,0.996200
cnn_d3,cnn,3,0,104202,3,10,0.010428,0.273303,0.957300,1.306,0.008108,0.997100
cnn_d3,cnn,3,0,104202,3,11,0.012988,0.301650,0.952000,1.511,0.008589,0.997600
cnn_d3,cnn,3,0,104202,3,12,0.012193,0.329645,0.951100,1.431,0.012265,0.996200
cnn_d3,cnn,3,0,104202,3,13,0.010543,0.298889,0.956300,1.660,0.006770,0.997700
cnn_d3,cnn,3,0,104202,3,14,0.009391,0.337681,0.954000,1.472,0.003294,0.998700
cnn_d3,cnn,3,0,104202,3,15,0.012628,0.301798,0.955200,1.447,0.007029,0.997400
cnn_d3,cnn,3,0,104202,4,1,0.304512,0.268618,0.922000,1.407,0.084367,0.975100
cnn_d3,cnn,3,0,104202,4,2,0.083529,0.239761,0.932800,1.526,0.052451,0.984800
cnn_d3,cnn,3,0,104202,4,3,0.054187,0.263916,0.929200,1.421,0.039564,0.987800
cnn_d3,cnn,3,0,104202,4,4,0.040486,0.218407,0.946000,1.431,0.026753,0.991200
cnn_d3,cnn,3,0,104202,4,5,0.029836,0.216661,0.949500,1.611,0.022974,0.993200
cnn_d3,cnn,3,0,104202,4,6,0.024027,0.250171,0.947400,1.431,0.016220,0.995000
cnn_d3,cnn,3,0,104202,4,7,0.019977,0.244247,0.947800,1.288,0.015474,0.994400
cnn_d3,cnn,3,0,104202,4,8,0.015863,0.248800,0.954300,1.359,0.010724,0.996000
