tag,surrogate,alpha,seed,epoch,train_loss,test_loss,test_acc,firing_rate,seconds
sweep,sigmoid,10,2,4,0.101709,0.451223,0.881300,0.137926,2.214
sweep,sigmoid,10,3,1,0.332264,0.466997,0.858000,0.136996,2.362
sweep,sigmoid,10,3,2,0.166395,0.448407,0.870600,0.131935,2.298
sweep,sigmoid,10,3,3,0.126733,0.466987,0.864800,0.139670,2.489
sweep,sigmoid,10,3,4,0.110317,0.441740,0.884800,0.138767,2.362
sweep,sigmoid,25,1,1,0.342435,0.475958,0.855100,0.129967,2.291
sweep,sigmoid,25,1,2,0.177441,0.492362,0.858000,0.137441,2.223
sweep,sigmoid,25,1,3,0.135012,0.471853,0.867900,0.136680,2.357
sweep,sigmoid,25,1,4,0.112453,0.498941,0.869700,0.146948,2.360
sweep,sigmoid,25,2,1,0.330043,0.491873,0.856500,0.147238,2.160
sweep,sigmoid,25,2,2,0.171052,0.468053,0.864000,0.154561,2.474
sweep,sigmoid,25,2,3,0.133334,0.470013,0.871100,0.149587,2.761
sweep,sigmoid,25,2,4,0.105924,0.466820,0.874300,0.145729,2.515
sweep,sigmoid,25,3,1,0.340182,0.476524,0.856900,0.150338,2.420
sweep,sigmoid,25,3,2,0.172660,0.420647,0.876800,0.147857,2.560
sweep,sigmoid,25,3,3,0.132972,0.474728,0.866400,0.149525,3.530
sweep,sigmoid,25,3,4,0.116483,0.501854,0.864100,0.152438,2.512
sweep,triangle,0.5,1,1,0.337033,0.462870,0.862300,0.111821,2.246
sweep,triangle,0.5,1,2,0.152849,0.437415,0.873800,0.116657,1.989
sweep,triangle,0.5,1,3,0.104884,0.431612,0.883200,0.122892,2.191
sweep,triangle,0.5,1,4,0.078702,0.435601,0.892200,0.119320,2.179
sweep,triangle,0.5,2,1,0.331489,0.472959,0.859500,0.124946,2.163
sweep,triangle,0.5,2,2,0.154314,0.436928,0.872600,0.133779,2.173
sweep,triangle,0.5,2,3,0.107694,0.416832,0.885500,0.128336,2.931
sweep,triangle,0.5,2,4,0.081051,0.440229,0.888700,0.132597,3.033
sweep,triangle,0.5,3,1,0.329796,0.444121,0.867600,0.121270,2.965
sweep,triangle,0.5,3,2,0.156748,0.418767,0.880400,0.125329,2.744
sweep,triangle,0.5,3,3,0.107906,0.445321,0.877400,0.130136,2.396
sweep,triangle,0.5,3,4,0.081963,0.520936,0.871000,0.128415,2.337
sweep,triangle,1,1,1,0.336147,0.469678,0.856500,0.121942,1.955
sweep,triangle,1,1,2,0.161689,0.437225,0.875400,0.117369,2.213
sweep,triangle,1,1,3,0.119945,0.455979,0.872100,0.108642,2.093
sweep,triangle,1,1,4,0.092406,0.489181,0.878300,0.120200,1.901
sweep,triangle,1,2,1,0.326567,0.464343,0.864100,0.120370,2.197
sweep,triangle,1,2,2,0.155518,0.473645,0.860700,0.124411,2.005
sweep,triangle,1,2,3,0.116604,0.415973,0.886200,0.120720,2.158
sweep,triangle,1,2,4,0.088722,0.434782,0.884800,0.124623,1.946
sweep,triangle,1,3,1,0.330029,0.464998,0.857200,0.132315,2.212
sweep,triangle,1,3,2,0.161190,0.431696,0.873400,0.125519,2.019
sweep,triangle,1,3,3,0.118054,0.413772,0.882300,0.123738,2.110
sweep,triangle,1,3,4,0.091427,0.450546,0.885800,0.124981,2.144
sweep,triangle,2,1,1,0.340354,0.487797,0.853400,0.117016,1.875
sweep,triangle,2,1,2,0.168441,0.443243,0.870800,0.119560,2.235
sweep,triangle,2,1,3,0.127115,0.452566,0.877200,0.125948,1.978
sweep,triangle,2,1,4,0.106775,0.481222,0.873400,0.125811,2.087
sweep,triangle,2,2,1,0.324870,0.473483,0.859700,0.130921,2.121
sweep,triangle,2,2,2,0.161476,0.467799,0.863100,0.134804,1.910
sweep,triangle,2,2,3,0.123326,0.427773,0.882700,0.129313,1.894
sweep,triangle,2,2,4,0.099310,0.439614,0.884100,0.123236,1.955
sweep,triangle,2,3,1,0.327794,0.455142,0.862000,0.135102,2.149
sweep,triangle,2,3,2,0.162333,0.428343,0.872500,0.139608,2.124
sweep,triangle,2,3,3,0.120034,0.439421,0.874500,0.130993,2.018
sweep,triangle,2,3,4,0.101544,0.468330,0.874000,0.128248,2.454
sweep,triangle,5,1,1,0.345994,0.470044,0.859600,0.134527,2.224
sweep,triangle,5,1,2,0.173151,0.455881,0.871000,0.135514,2.207
sweep,triangle,5,1,3,0.132624,0.464737,0.869800,0.140052,1.899
sweep,triangle,5,1,4,0.114363,0.489736,0.867900,0.134248,2.165
sweep,triangle,5,2,1,0.326798,0.505344,0.851800,0.149656,1.902
sweep,triangle,5,2,2,0.166541,0.469120,0.863400,0.147291,1.992
sweep,triangle,5,2,3,0.128396,0.423976,0.881600,0.141384,2.193
sweep,triangle,5,2,4,0.106309,0.487356,0.872300,0.146939,2.157
sweep,triangle,5,3,1,0.332597,0.452617,0.861400,0.145044,1.955
sweep,triangle,5,3,2,0.174541,0.449111,0.868000,0.152457,2.096
sweep,triangle,5,3,3,0.137183,0.475244,0.864400,0.147538,2.206
sweep,triangle,5,3,4,0.111844,0.464102,0.874600,0.147742,2.293
