tag,arch,depth,width,params,seed,epoch,train_loss,test_loss,test_acc,seconds,train_eval_loss,train_eval_acc
sweep_mlp1w256_lr1e-3,mlp,1,256,203530,1,4,0.129397,0.399344,0.885500,0.706,nan,nan
sweep_mlp1w256_lr1e-3,mlp,1,256,203530,2,1,0.528878,0.596215,0.815200,0.674,nan,nan
sweep_mlp1w256_lr1e-3,mlp,1,256,203530,2,2,0.250438,0.514660,0.842100,0.723,nan,nan
sweep_mlp1w256_lr1e-3,mlp,1,256,203530,2,3,0.172117,0.434857,0.870300,0.728,nan,nan
sweep_mlp1w256_lr1e-3,mlp,1,256,203530,2,4,0.127853,0.396302,0.884400,0.719,nan,nan
sweep_mlp1w256_lr3e-3,mlp,1,256,203530,1,1,0.377442,0.471794,0.858400,0.911,nan,nan
sweep_mlp1w256_lr3e-3,mlp,1,256,203530,1,2,0.162767,0.397572,0.883300,0.697,nan,nan
sweep_mlp1w256_lr3e-3,mlp,1,256,203530,1,3,0.106210,0.396384,0.887400,0.640,nan,nan
sweep_mlp1w256_lr3e-3,mlp,1,256,203530,1,4,0.075326,0.441111,0.888100,0.648,nan,nan
sweep_mlp1w256_lr3e-3,mlp,1,256,203530,2,1,0.385443,0.463422,0.859000,0.705,nan,nan
sweep_mlp1w256_lr3e-3,mlp,1,256,203530,2,2,0.164088,0.404113,0.878100,0.655,nan,nan
sweep_mlp1w256_lr3e-3,mlp,1,256,203530,2,3,0.107210,0.404942,0.883800,0.662,nan,nan
sweep_mlp1w256_lr3e-3,mlp,1,256,203530,2,4,0.076101,0.393945,0.893400,0.740,nan,nan
sweep_mlp2w256_lr3e-4,mlp,2,256,269322,1,1,0.694036,0.737342,0.767100,1.087,nan,nan
sweep_mlp2w256_lr3e-4,mlp,2,256,269322,1,2,0.341683,0.622544,0.804900,0.883,nan,nan
sweep_mlp2w256_lr3e-4,mlp,2,256,269322,1,3,0.255990,0.547785,0.831300,0.800,nan,nan
sweep_mlp2w256_lr3e-4,mlp,2,256,269322,1,4,0.202549,0.486752,0.855600,0.824,nan,nan
sweep_mlp2w256_lr3e-4,mlp,2,256,269322,2,1,0.702500,0.725891,0.772100,0.840,nan,nan
sweep_mlp2w256_lr3e-4,mlp,2,256,269322,2,2,0.343775,0.648576,0.799100,0.779,nan,nan
sweep_mlp2w256_lr3e-4,mlp,2,256,269322,2,3,0.258086,0.530812,0.837300,0.881,nan,nan
sweep_mlp2w256_lr3e-4,mlp,2,256,269322,2,4,0.202843,0.470017,0.855600,1.030,nan,nan
sweep_mlp2w256_lr1e-3,mlp,2,256,269322,1,1,0.473468,0.526294,0.837400,1.114,nan,nan
sweep_mlp2w256_lr1e-3,mlp,2,256,269322,1,2,0.199107,0.450427,0.864800,0.821,nan,nan
sweep_mlp2w256_lr1e-3,mlp,2,256,269322,1,3,0.128398,0.386681,0.886900,0.796,nan,nan
sweep_mlp2w256_lr1e-3,mlp,2,256,269322,1,4,0.090878,0.393835,0.893900,0.817,nan,nan
sweep_mlp2w256_lr1e-3,mlp,2,256,269322,2,1,0.477242,0.533288,0.837400,0.819,nan,nan
sweep_mlp2w256_lr1e-3,mlp,2,256,269322,2,2,0.202828,0.435772,0.871000,0.874,nan,nan
