tag,surrogate,alpha,seed,epoch,train_loss,test_loss,test_acc,firing_rate,seconds
sweep,atan,5,1,1,0.199756,0.096608,0.969900,0.153480,2.737
sweep,atan,5,1,2,0.083014,0.091826,0.970100,0.158612,1.983
sweep,atan,5,1,3,0.059511,0.082826,0.974700,0.142788,2.095
sweep,atan,5,1,4,0.048135,0.078505,0.976600,0.156435,2.136
sweep,atan,5,2,1,0.198124,0.101083,0.967000,0.148033,2.301
sweep,atan,5,2,2,0.085347,0.112062,0.965400,0.138705,2.147
sweep,atan,5,2,3,0.059370,0.080897,0.975800,0.136171,1.921
sweep,atan,5,2,4,0.046480,0.085311,0.977000,0.145937,1.923
sweep,atan,5,3,1,0.199462,0.100201,0.969200,0.147406,1.969
sweep,atan,5,3,2,0.087418,0.090765,0.973000,0.156909,2.032
sweep,atan,5,3,3,0.062485,0.105111,0.968200,0.163592,1.979
sweep,atan,5,3,4,0.051061,0.101788,0.970400,0.168400,2.040
sweep,atan,10,1,1,0.201695,0.098425,0.967900,0.171885,2.021
sweep,atan,10,1,2,0.087659,0.094243,0.970700,0.169532,1.999
sweep,atan,10,1,3,0.060868,0.078176,0.975200,0.166942,2.003
sweep,atan,10,1,4,0.052320,0.084715,0.976000,0.174144,1.941
sweep,atan,10,2,1,0.196855,0.102317,0.968600,0.165715,2.215
sweep,atan,10,2,2,0.086947,0.106225,0.968200,0.159405,1.934
sweep,atan,10,2,3,0.062654,0.083561,0.973200,0.158497,2.040
sweep,atan,10,2,4,0.050424,0.087333,0.974800,0.162104,2.017
sweep,atan,10,3,1,0.199508,0.100023,0.969700,0.158828,1.888
sweep,atan,10,3,2,0.085285,0.084314,0.974300,0.159246,1.891
sweep,atan,10,3,3,0.064094,0.090324,0.973300,0.169224,1.939
sweep,atan,10,3,4,0.053057,0.107633,0.969300,0.167462,2.106
sweep,atan,25,1,1,0.202655,0.104425,0.966700,0.165313,1.928
sweep,atan,25,1,2,0.090050,0.085033,0.974300,0.160121,2.050
sweep,atan,25,1,3,0.067468,0.090159,0.971000,0.171346,1.890
sweep,atan,25,1,4,0.059883,0.081751,0.976100,0.166025,1.945
sweep,atan,25,2,1,0.199365,0.102877,0.967900,0.156774,1.996
sweep,atan,25,2,2,0.090334,0.117680,0.965600,0.161038,2.022
sweep,atan,25,2,3,0.067337,0.076005,0.976600,0.144269,2.045
sweep,atan,25,2,4,0.051114,0.100040,0.971600,0.164757,4.302
sweep,atan,25,3,1,0.202318,0.099611,0.969200,0.169817,4.783
sweep,atan,25,3,2,0.092182,0.101435,0.969100,0.161807,2.118
sweep,atan,25,3,3,0.067684,0.083656,0.975400,0.157212,2.007
sweep,atan,25,3,4,0.057146,0.092346,0.971700,0.158249,2.037
sweep,sigmoid,0.5,1,1,0.263940,0.146413,0.956200,0.095510,2.591
sweep,sigmoid,0.5,1,2,0.123080,0.102749,0.967800,0.106373,2.673
sweep,sigmoid,0.5,1,3,0.080411,0.101287,0.971300,0.113519,2.436
sweep,sigmoid,0.5,1,4,0.061750,0.090216,0.974300,0.111931,2.278
sweep,sigmoid,0.5,2,1,0.259688,0.141113,0.958300,0.099603,2.344
sweep,sigmoid,0.5,2,2,0.120554,0.122164,0.962200,0.108801,2.167
sweep,sigmoid,0.5,2,3,0.083254,0.091696,0.973000,0.107651,2.213
sweep,sigmoid,0.5,2,4,0.062749,0.101300,0.971400,0.113283,2.342
sweep,sigmoid,0.5,3,1,0.262988,0.149234,0.953900,0.090587,2.240
sweep,sigmoid,0.5,3,2,0.120642,0.107265,0.967600,0.098781,2.225
sweep,sigmoid,0.5,3,3,0.081520,0.107708,0.968500,0.101722,3.031
sweep,sigmoid,0.5,3,4,0.060709,0.085974,0.974900,0.105172,4.883
sweep,sigmoid,1,1,1,0.229070,0.113353,0.964200,0.113053,3.207
sweep,sigmoid,1,1,2,0.098043,0.087651,0.972900,0.123237,2.202
sweep,sigmoid,1,1,3,0.066940,0.092242,0.972600,0.129855,2.273
sweep,sigmoid,1,1,4,0.051827,0.085073,0.976800,0.131261,2.152
sweep,sigmoid,1,2,1,0.224916,0.118618,0.961700,0.112109,2.247
